section,file,part,staff,notes,mean pitch,mean fret,max fret,range (midi),outcome
art-of-fugue,contrapunctusXI.gp5,Guitar III,Guitar III,723,59.5,1.8,10,48-74,whole piece -2 semitones
art-of-fugue,contrapunctusXI.gp5,Bass,Bass,690,39.8,1.8,7,28-50,"whole piece -2 semitones, drop D"
art-of-fugue,contrapunctusXII.gp5,Guitar,Guitar,1229,70.2,8.0,18,45-82,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusXII.gp5,Bass,Bass,1167,41.2,3.0,12,28-55,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusXIII.gp5,Guitar,Guitar,937,71.1,7.9,18,57-82,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusXIII.gp5,Bass,Bass,990,37.8,1.7,7,28-50,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusXIV.gp5,Guitar,Guitar,738,74.6,11.9,22,60-86,whole piece -2 semitones
art-of-fugue,contrapunctusXIV.gp5,Bass,Bass,763,38.9,2.1,12,28-55,"whole piece -2 semitones, drop D"
art-of-fugue,contrapunctusXIX.gp5,Guitar I,Guitar III,711,58.3,1.8,6,48-70,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusXIX.gp5,Guitar II,Guitar II,793,66.3,3.7,15,53-79,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusXIX.gp5,Guitar III,Guitar I,675,73.1,9.6,20,62-84,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusXIX.gp5,Bass,Bass,675,39.1,1.6,7,28-50,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusXV.gp5,Guitar,Guitar,706,71.2,8.8,22,57-86,whole piece -2 semitones
art-of-fugue,contrapunctusXV.gp5,Bass,Bass,707,43.4,4.0,12,28-55,"whole piece -2 semitones, drop D"
chorales,BWV_0599.gp5,Guitar I,Guitar I,42,69.5,6.8,12,40-76,left as it is - already sits well
chorales,BWV_0599.gp5,Guitar II,Guitar II,82,65.5,2.8,8,59-72,left as it is - already sits well
chorales,BWV_0599.gp5,Guitar III,Guitar III,38,60.8,1.4,3,42-65,left as it is - already sits well
chorales,BWV_0599.gp5,Guitar IV,Guitar IV,74,56.2,1.4,5,44-69,left as it is - already sits well
chorales,BWV_0599.gp5,Bass,Bass,42,38.8,1.3,5,28-48,left as it is - already sits well
chorales,BWV_0600.gp5,Guitar I,Guitar III,199,63.3,2.4,13,52-77,whole piece -3 semitones
chorales,BWV_0600.gp5,Guitar II,Guitar I,173,70.2,8.7,22,48-86,whole piece -3 semitones
chorales,BWV_0600.gp5,Guitar III,Guitar II,134,68.5,6.9,22,48-86,whole piece -3 semitones
chorales,BWV_0600.gp5,Bass,Bass,55,45.4,3.8,10,38-53,whole piece -3 semitones
chorales,BWV_0601.gp5,Guitar I,Guitar III,176,61.9,3.0,12,42-76,left as it is - already sits well
